;text
119;['ga', 'usah', 'bilng', 'ke', 'gt', 'lah', 'pak', 'poli', 'tar', 'di', 'ejek', 'lg', 'ma', 'sih', 'loh', 'pa', 'nya', 'yg', 'membantu', 'biar', 'dpt', 'duit', 'pak', 'buat', 'pa', 'juga', 'hacker', 'di', 'bantu', 'or', 'bantuan', 'yg', 'nm', 'nya', 'hacker', 'tuh', 'ga', 'perlu', 'bantuan', 'sapa', 'pun', 'pak', 'krn', 'die', 'cerda', 'sendiri', 'nya']
120;['cintailah', 'pekerjaanmu', 'meskipun', 'tidak', 'membuatmu', 'kaya', 'tapi', 'ia', 'memberimu', 'hidup', 'sedikit', 'lebih', 'lama']
121;['ga', 'bisa', 'lah', 'masak', 'aparat', 'bocorin', 'aparat', 'imposs', 'to', 'do', 'that', 'bjorka', 'are', 'polic', 'cop']
122;['bisa', 'ga', 'cctv', 'di', 'bongkar']
123;['polisi', 'menetapkan', 'mah', 'pedagang', 'es', 'di', 'madiun', 'sebagai', 'tersangka', 'mereka', 'juga', 'mengungkap', 'dugaan', 'motif', 'mah', 'membuat', 'channel', 'telegram', 'bjorkan']
124;['oppa', 'ganteng', 'satu', 'ini', 'bukan', 'aktor', 'ya', 'guy', 'kenalin', 'namanya', 'yu', 'hojin', 'pesulap', 'asal', 'korea', 'selatan', 'penasaran', 'liat', 'kegantengan', 'dia', 'pa', 'main', 'sulap', 'atau', 'penasaran', 'sama', 'triknya', 'langsung', 'aja', 'yuk', 'simak', 'video', 'dibawah', 'ini']
125;['hadiah', 'atau', 'kado', 'al', 'jumbo', 'untuk', 'orangtua', 'kakek', 'nenek', 'om', 'tant', 'a', 'thread', 'princ', 'andrew', 'iq']
126;['kasu', 'hacker', 'bjorka', 'remaja', 'madiun', 'jadi', 'tersangka', 'ini', 'buktibukti', 'yang', 'didapat', 'polisi', 'motifnya', 'uang']
127;['sesuai', 'dugaan', 'beberapa', 'orang', 'sebelumnya', 'ternyata', 'benar', 'terbukti', 'bahwa', 'si', 'tak', 'lebih', 'dari', 'seorang', 'hacker', 'lokal', 'yang', 'menyarumenyamar', 'menjadi', 'hacker', 'internasion']
128;['coba', 'dong', 'punya', 'istri', 'ga']
129;['mana', 'nih', 'yang', 'hobinya', 'nonton', 'agt', 'pasti', 'gak', 'ase', 'lagi', 'kan', 'sama', 'matt', 'franco', 'si', 'jagonya', 'mindblow', 'kirakira', 'gimana', 'sih', 'triknya', 'sampek', 'bisa', 'sejago', 'itu', 'yuk', 'kita', 'bongkar', 'sekarang']
130;['pantsan', 'gw', 'cari', 'kga', 'ada']
131;['tidak', 'ada', 'manusia', 'yang', 'benar', 'benar', 'menjadi', 'dewasa', 'si', 'anak', 'kecil', 'hanya', 'terperangkap', 'didalam', 'tubuh', 'si', 'besar', 'yang', 'banyak', 'tuntutan', 'banyak', 'tangisan']
132;['pemuda', 'madiun', 'jadi', 'tersangka', 'ini', 'dia', 'peran', 'pemuda', 'membantu', 'hacker', 'ceo', 'tbk', 'termuda']
133;['gonjangganj', 'siapa', 'hacker', 'bjorka', 'ternyata', 'masih', 'misteri', 'pemuda', 'madiun', 'ternyata', 'bukanlah', 'hacker', 'yang', 'dicari', 'yang', 'mereta', 'banyak', 'data']
134;['saran', 'gue', 'sih', 'ini', 'kan', 'hacker', 'pasti', 'susah', 'di', 'lacak', 'mend', 'cari', 'tau', 'dlo', 'ini', 'dia', 'tu', 'sendiriseklompok', 'orang', 'jangan', 'apa', 'apa', 'langsung', 'di', 'publi', 'katanya', 'pengen', 'cari', 'kepercayaan', 'rakyat', 'kali', 'udh', 'banyak', 'berita', 'orang', 'jualan', 'es', 'di', 'tangkep', 'kan', 'udh', 'jela', 'ngasal', 'kan']
135;['nunggu', 'tw', 'tt', 'ngantukpenasaran']
136;['semoga', 'mimpi', 'indah']
137;['rill', 'kah', 'itu']
138;['kirim', 'bang', 'lewat', 'tele']
139;['kualifikasi', 'piala', 'asia', 'u', 'hong', 'kong', 'vs', 'timna', 'indonesia', 'u', 'timna', 'akan', 'menghadapi', 'hong', 'kong', 'pada', 'laga', 'kedua', 'grup', 'f', 'kualifikasi', 'piala', 'asia', 'u', 'link', 'nobar', 'di', 'bio']
140;['memang', 'bukan', 'bjorka', 'jadi', 'tersangka', 'karena', 'post', 'di', 'channel', 'telegram', 'bjorkan']
141;['ternyata', 'kerja', 'untuk', 'orang', 'indonesia', 'untuk', 'membuka', 'data', 'korupsi', 'dia', 'sudah', 'berhasil', 'masuk', 'beberapa', 'menti', 'dia', 'bekerja', 'comput', 'nya', 'mengeluarkan', 'asap', 'sake', 'banyak', 'nya', 'data', 'dan', 'bjorka', 'pun', 'meningg', 'dunia', 'karena', 'ledaka', 'comput', 'nya']
142;['d', 'd', 'k', 'j', 'lb', 'bs', 'jil', 't', 'n', 'n', 'n']
143;['om', 'q', 'di', 'm', 'b', 'l']
144;['bisa', 'jadi', 'hanya', 'pengalihan', 'isu', 'dari', 'kasu', 'sambo']
145;['mah', 'berperan', 'sebagai', 'penyedia', 'channel', 'di', 'telegram', 'dengan', 'mengatasnamakan', 'bjorkan']
146;['ada', 'benernya', 'juga', 'nih']
147;['coba', 'reta', 'tv', 'swasta', 'nasion', 'dong', 'habi', 'itu', 'tampilkan', 'para', 'koruptor', 'pejabat', 'korupt', 'juga', 'hasil', 'pemilu', 'kemaren', 'dll', 'biar', 'semua', 'orang', 'tahu', 'sebenernya', 'negri', 'sedang', 'tidak', 'baik', 'baik', 'saja']
148;['saya', 'menjual', 'pembersih', 'ajaib', 'keramik', 'kamar', 'mandidapurporcelainbathubwc', 'gram', 'seharga', 'rp', 'dapatkan', 'produk', 'ini', 'hanya', 'di', 'shope']
149;['semoga', 'akan', 'sadar', 'semua', 'warga', 'indonesia']
150;['kayanya', 'bjorka', 'cew', 'ga', 'sih', 'menurut', 'gua', 'sih', 'iya']
151;['pemuda', 'asal', 'madiun', 'jadi', 'tersangka', 'karena', 'bantu', 'hacker', 'bjorka', 'modusnya', 'ingin', 'terken', 'dan', 'dapat', 'uang']
152;['pria', 'yang', 'ditangkap', 'di', 'madiun', 'ditetapkan', 'tersangka', 'polisi', 'perannya', 'sebagai', 'pemegang', 'chanel', 'telegram', 'bjorkan', 'lewat', 'onlin']
153;['pemuda', 'madiun', 'terduga', 'membantu', 'bjorka', 'yang', 'terlacak', 'polisi', 'tag', 'keisya', 'jupe']
154;['pihak', 'keluarga', 'dari', 'muhammad', 'agung', 'hidayatulloh', 'mah', 'pemuda', 'asal', 'madiun', 'jawa', 'timur', 'yang', 'jadi', 'tersangka', 'kasu', 'peretasan', 'terkait', 'bjorka', 'meminta', 'maaf', 'kepada', 'publik']
155;['mbah', 'sudah', 'nonton', 'ini', 'belom', 'msh', 'menuduh', 'dri', 'hacker', 'dlm', 'negeri', 'seperti', 'yg', 'dituduhkan', 'itu', 'gerakan', 'hacker', 'utk', 'melawan', 'pemerintahan', 'indonesia', 'yg', 'zholim', 'bukan', 'nama', 'anonim', 'utk', 'kpd', 'seseorg']
156;['mah', 'tersangka', 'yang', 'diduga', 'membantu', 'hacker', 'bjorka']
157;['mah', 'tersangka', 'bjorka', 'karena', 'post', 'ini', 'di', 'channel', 'bjorkan']
