,Topic,Word,P
605,2,apakah,0.005862686
606,2,hari,0.0058196387
607,2,semoga,0.00578816
608,2,kenapa,0.00572962
609,2,baik,0.00562231
610,2,giliran,0.0056021456
611,2,hi,0.0055992845
612,2,org,0.00554812
613,2,membuat,0.005546767
614,2,kita,0.0055071944
615,2,dia,0.005497225
616,2,pasti,0.0054857717
617,2,ke,0.0054804925
618,2,allah,0.005382756
619,2,si,0.005358463
620,2,rakyat,0.0053481143
621,2,follow,0.005216069
622,2,banget,0.0051499936
623,2,data,0.0051124594
624,2,dulu,0.005092629
625,2,gak,0.005092147
626,2,lebih,0.0050140475
627,2,lihat,0.0049650203
628,2,orang,0.0049127825
629,2,kirim,0.0048459754
630,2,kang,0.004834388
631,2,jual,0.0047890744
632,2,asli,0.0047669727
633,2,yakin,0.004735746
634,2,cuma,0.004708484
635,2,tanggapan,0.004689762
636,2,panjang,0.004593714
637,2,publik,0.004583634
638,2,biar,0.0044607962
639,2,ani,0.004454707
640,2,kan,0.004394278
641,2,youtub,0.004374965
642,2,siapa,0.0043517044
643,2,langsung,0.004347587
644,2,negara,0.0043337876
645,2,sudah,0.0042793034
646,2,jadi,0.0042317417
647,2,dengan,0.004231669
648,2,menjadi,0.004199605
649,2,lah,0.0041825552
650,2,kasu,0.0041223783
651,2,for,0.004095514
652,2,tuh,0.004042271
653,2,mana,0.004034079
654,2,berikut,0.00401717
655,2,terbaru,0.0040081297
656,2,dokumen,0.004003599
657,2,wkwk,0.003973061
658,2,join,0.0039709564
659,2,mulai,0.0038738525
660,2,selalu,0.0038382104
661,2,muncul,0.0038133746
662,2,beberapa,0.003797368
663,2,atau,0.0037960173
664,2,video,0.0037678117
665,2,netizen,0.0037197853
666,2,pent,0.0036595624
667,2,apa,0.003659461
668,2,kembali,0.0035548687
669,2,tdk,0.003508869
670,2,aneh,0.0035042812
671,2,menurut,0.003495016
672,2,punya,0.00348962
673,2,juga,0.0034811054
674,2,gimana,0.0034809634
675,2,dll,0.0034541294
676,2,kaya,0.00344014
677,2,baca,0.0034325258
678,2,nanti,0.003361305
679,2,lu,0.0033424436
680,2,dari,0.0033081658
681,2,dukung,0.0033000337
682,2,bang,0.0032840145
683,2,cebong,0.0032691464
684,2,kok,0.0032241268
685,2,bener,0.0031766458
686,2,kerja,0.003103389
687,2,pale,0.003094662
688,2,takut,0.0030819478
689,2,tp,0.003058512
690,2,up,0.003023168
